"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Germany (DE)","Generation - Solar  [MW] Current / Germany (DE)","Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Offshore  [MW] Current / Germany (DE)","Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Onshore  [MW] Current / Germany (DE)"
"03.01.2022 22:30 - 03.01.2022 22:45","0","0","5442","5102","27026","24611"
"03.01.2022 22:45 - 03.01.2022 23:00","0","0","5319","5295","26613","24175"
"03.01.2022 23:00 - 03.01.2022 23:15","0","0","5159","5297","26195","23642"
"03.01.2022 23:15 - 03.01.2022 23:30","0","0","5029","5181","25788","23270"
"03.01.2022 23:30 - 03.01.2022 23:45","0","0","4907","5118","25379","22845"
"03.01.2022 23:45 - 04.01.2022 00:00","0","0","4792","5134","24965","22348"
"04.01.2022 00:00 - 04.01.2022 00:15","0","0","4941","5090","23093","21006"
"04.01.2022 00:15 - 04.01.2022 00:30","0","0","4687","4920","22666","20254"
"04.01.2022 00:30 - 04.01.2022 00:45","0","0","4426","4773","22269","19699"
"04.01.2022 00:45 - 04.01.2022 01:00","0","0","4174","4617","21869","19509"
"04.01.2022 01:00 - 04.01.2022 01:15","0","0","3713","4422","21473","19113"
"04.01.2022 01:15 - 04.01.2022 01:30","0","0","3569","4286","21060","18689"
"04.01.2022 01:30 - 04.01.2022 01:45","0","0","3419","4467","20640","18348"
"04.01.2022 01:45 - 04.01.2022 02:00","0","0","3259","4133","20226","18089"
"04.01.2022 02:00 - 04.01.2022 02:15","0","0","3098","3936","19784","17809"
"04.01.2022 02:15 - 04.01.2022 02:30","0","0","2974","3951","19320","17471"
"04.01.2022 02:30 - 04.01.2022 02:45","0","0","2905","3839","18838","17089"
